Probe Set ID	Gene Symbol	Gene Title	Entrez Gene
TC01000001.hg.1	NA	NA	NA
TC01000002.hg.1	NA	NA	NA
TC01000003.hg.1	OR4F5	olfactory receptor, family 4, subfamily F, member 5	79501
TC01000004.hg.1	NA	NA	NA
TC01000005.hg.1	NA	NA	NA
TC01000006.hg.1	NA	NA	NA
TC01000007.hg.1	NA	NA	NA
TC01000008.hg.1	NA	NA	NA
TC01000009.hg.1	NA	NA	NA
TC01000010.hg.1	NA	NA	NA
TC01000011.hg.1	NA	NA	NA
TC01000012.hg.1	NA	NA	NA
TC01000013.hg.1	NA	NA	NA
TC01000014.hg.1	NA	NA	NA
TC01000015.hg.1	LOC100287934	uncharacterized LOC100287934	100287934
TC01000016.hg.1	LOC100287934	uncharacterized LOC100287934	100287934
TC01000017.hg.1	FAM87B	family with sequence similarity 87, member B	400728
TC01000018.hg.1	LOC643837	uncharacterized LOC643837	643837
TC01000019.hg.1	LOC284600	uncharacterized LOC284600	284600
TC01000020.hg.1	SAMD11	sterile alpha motif domain containing 11	148398
TC01000021.hg.1	KLHL17	kelch-like 17 (Drosophila)	339451
TC01000022.hg.1	PLEKHN1	pleckstrin homology domain containing, family N member 1	84069
TC01000023.hg.1	ISG15	ISG15 ubiquitin-like modifier	9636
TC01000024.hg.1	AGRN	agrin	375790
TC01000025.hg.1	NA	NA	NA
TC01000026.hg.1	LOC254099	uncharacterized LOC254099	254099
TC01000027.hg.1	MIR200B	microRNA 200b	406984
TC01000028.hg.1	MIR200A	microRNA 200a	406983
TC01000029.hg.1	MIR429	microRNA 429	554210
TC01000030.hg.1	TTLL10	tubulin tyrosine ligase-like family, member 10	254173
TC01000031.hg.1	B3GALT6	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	126792
TC01000032.hg.1	SCNN1D	sodium channel, nonvoltage-gated 1, delta	6339
TC01000033.hg.1	PUSL1	pseudouridylate synthase-like 1	126789
TC01000034.hg.1	GLTPD1	glycolipid transfer protein domain containing 1	80772
TC01000035.hg.1	TAS1R3	taste receptor, type 1, member 3	83756
TC01000036.hg.1	LOC148413	uncharacterized LOC148413	148413
TC01000037.hg.1	NA	NA	NA
TC01000038.hg.1	TMEM88B	transmembrane protein 88B	643965
TC01000039.hg.1	NA	NA	NA
TC01000040.hg.1	VWA1	von Willebrand factor A domain containing 1	64856
TC01000041.hg.1	ATAD3C	ATPase family, AAA domain containing 3C	219293
TC01000042.hg.1	ATAD3B	ATPase family, AAA domain containing 3B	83858
TC01000043.hg.1	ATAD3A	ATPase family, AAA domain containing 3A	55210
TC01000044.hg.1	NA	NA	NA
TC01000045.hg.1	NA	NA	NA
TC01000046.hg.1	MIB2	mindbomb homolog 2 (Drosophila)	142678
TC01000047.hg.1	NA	NA	NA
TC01000048.hg.1	NA	NA	NA
TC01000049.hg.1	NA	NA	NA
TC01000050.hg.1	NA	NA	NA
TC01000051.hg.1	NA	NA	NA
TC01000052.hg.1	CALML6	calmodulin-like 6	163688
TC01000053.hg.1	GABRD	gamma-aminobutyric acid (GABA) A receptor, delta	2563
TC01000054.hg.1	PRKCZ	protein kinase C, zeta	5590
TC01000055.hg.1	NA	NA	NA
TC01000056.hg.1	NA	NA	NA
TC01000057.hg.1	SKI	v-ski sarcoma viral oncogene homolog (avian)	6497
TC01000058.hg.1	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	11079
TC01000059.hg.1	NA	NA	NA
TC01000060.hg.1	PLCH2	phospholipase C, eta 2	9651
TC01000061.hg.1	TNFRSF14	tumor necrosis factor receptor superfamily, member 14	8764
TC01000062.hg.1	NA	NA	NA
TC01000063.hg.1	NA	NA	NA
TC01000064.hg.1	C1orf93	chromosome 1 open reading frame 93	127281
TC01000065.hg.1	NA	NA	NA
TC01000066.hg.1	ACTRT2	actin-related protein T2	140625
TC01000067.hg.1	PRDM16	PR domain containing 16	63976
TC01000068.hg.1	MIR4251	microRNA 4251	100422968
TC01000069.hg.1	ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16	27237
TC01000070.hg.1	TPRG1L	tumor protein p63 regulated 1-like	127262
TC01000071.hg.1	TP73	tumor protein p73	7161
TC01000072.hg.1	CCDC27	coiled-coil domain containing 27	148870
TC01000073.hg.1	LOC388588	uncharacterized LOC388588	388588
TC01000074.hg.1	DFFB	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)	1677
TC01000075.hg.1	LOC100133612	uncharacterized LOC100133612	100133612
TC01000076.hg.1	LOC728716	uncharacterized LOC728716	728716
TC01000077.hg.1	LOC284661	uncharacterized LOC284661	284661
TC01000078.hg.1	NA	NA	NA
TC01000079.hg.1	NA	NA	NA
TC01000080.hg.1	AJAP1	adherens junctions associated protein 1	55966
TC01000081.hg.1	NA	NA	NA
TC01000082.hg.1	MIR4417	microRNA 4417	100616489
TC01000083.hg.1	NA	NA	NA
TC01000084.hg.1	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	8514
TC01000085.hg.1	RNF207	ring finger protein 207	388591
TC01000086.hg.1	LINC00337	long intergenic non-protein coding RNA 337	148645
TC01000087.hg.1	HES3	hairy and enhancer of split 3 (Drosophila)	390992
TC01000088.hg.1	ESPN	espin	83715
TC01000089.hg.1	NA	NA	NA
TC01000090.hg.1	TAS1R1	taste receptor, type 1, member 1	80835
TC01000091.hg.1	ZBTB48	zinc finger and BTB domain containing 48	3104
TC01000092.hg.1	PHF13	PHD finger protein 13	148479
TC01000093.hg.1	THAP3	THAP domain containing, apoptosis associated protein 3	90326
TC01000094.hg.1	LOC100505887	uncharacterized LOC100505887	100505887
TC01000095.hg.1	NA	NA	NA
TC01000096.hg.1	CAMTA1	calmodulin binding transcription activator 1	23261
TC01000097.hg.1	NA	NA	NA
TC01000098.hg.1	NA	NA	NA
TC01000099.hg.1	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	9341
TC01000100.hg.1	PER3	period homolog 3 (Drosophila)	8863
TC01000101.hg.1	PARK7	parkinson protein 7	11315
TC01000102.hg.1	NA	NA	NA
TC01000103.hg.1	NA	NA	NA
TC01000104.hg.1	SLC45A1	solute carrier family 45, member 1	50651
TC01000105.hg.1	NA	NA	NA
TC01000106.hg.1	NA	NA	NA
TC01000107.hg.1	NA	NA	NA
TC01000108.hg.1	ENO1-AS1	ENO1 antisense RNA 1 (non-protein coding)	100505975
TC01000109.hg.1	NA	NA	NA
TC01000110.hg.1	CA6	carbonic anhydrase VI	765
TC01000111.hg.1	NA	NA	NA
TC01000112.hg.1	NA	NA	NA
TC01000113.hg.1	H6PD	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	9563
TC01000114.hg.1	NA	NA	NA
TC01000115.hg.1	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	80176
TC01000116.hg.1	SLC25A33	solute carrier family 25, member 33	84275
TC01000117.hg.1	TMEM201	transmembrane protein 201	199953
TC01000118.hg.1	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	5293
TC01000119.hg.1	NA	NA	NA
TC01000120.hg.1	NA	NA	NA
TC01000121.hg.1	NA	NA	NA
TC01000122.hg.1	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	64802
TC01000123.hg.1	NA	NA	NA
TC01000124.hg.1	RBP7	retinol binding protein 7, cellular	116362
TC01000125.hg.1	UBE4B	ubiquitination factor E4B	10277
TC01000126.hg.1	NA	NA	NA
TC01000127.hg.1	KIF1B	kinesin family member 1B	23095
TC01000128.hg.1	NA	NA	NA
TC01000129.hg.1	PGD	phosphogluconate dehydrogenase	5226
TC01000130.hg.1	NA	NA	NA
TC01000131.hg.1	NA	NA	NA
TC01000132.hg.1	PEX14	peroxisomal biogenesis factor 14	5195
TC01000133.hg.1	NA	NA	NA
TC01000134.hg.1	TARDBP	TAR DNA binding protein	23435
TC01000135.hg.1	NA	NA	NA
TC01000136.hg.1	NA	NA	NA
TC01000137.hg.1	NA	NA	NA
TC01000138.hg.1	NA	NA	NA
TC01000139.hg.1	ANGPTL7	angiopoietin-like 7	10218
TC01000140.hg.1	NA	NA	NA
TC01000141.hg.1	UBIAD1	UbiA prenyltransferase domain containing 1	29914
TC01000142.hg.1	PTCHD2	patched domain containing 2	57540
TC01000143.hg.1	NA	NA	NA
TC01000144.hg.1	FBXO44	F-box protein 44	93611
TC01000145.hg.1	FBXO6	F-box protein 6	26270
TC01000146.hg.1	NA	NA	NA
TC01000147.hg.1	AGTRAP	angiotensin II receptor-associated protein	57085
TC01000148.hg.1	NA	NA	NA
TC01000149.hg.1	NA	NA	NA
TC01000150.hg.1	RNU5E-1	RNA, U5E small nuclear 1	26829
TC01000151.hg.1	PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	5351
TC01000152.hg.1	MFN2	mitofusin 2	9927
TC01000153.hg.1	MIIP	migration and invasion inhibitory protein	60672
TC01000154.hg.1	TNFRSF8	tumor necrosis factor receptor superfamily, member 8	943
TC01000155.hg.1	NA	NA	NA
TC01000156.hg.1	VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	55187
TC01000157.hg.1	NA	NA	NA
TC01000158.hg.1	NA	NA	NA
TC01000159.hg.1	AADACL4	arylacetamide deacetylase-like 4	343066
TC01000160.hg.1	AADACL3	arylacetamide deacetylase-like 3	126767
TC01000161.hg.1	NA	NA	NA
TC01000162.hg.1	C1orf158	chromosome 1 open reading frame 158	93190
TC01000163.hg.1	PRAMEF12	PRAME family member 12	390999
TC01000164.hg.1	PRAMEF1	PRAME family member 1	65121
TC01000165.hg.1	PRAMEF2	PRAME family member 2	65122
TC01000166.hg.1	NA	NA	NA
TC01000167.hg.1	NA	NA	NA
TC01000168.hg.1	PRAMEF22	PRAME family member 22	653606
TC01000169.hg.1	NA	NA	NA
TC01000170.hg.1	NA	NA	NA
TC01000171.hg.1	NA	NA	NA
TC01000172.hg.1	NA	NA	NA
TC01000173.hg.1	NA	NA	NA
TC01000174.hg.1	NA	NA	NA
TC01000175.hg.1	PRAMEF10	PRAME family member 10	343071
TC01000176.hg.1	NA	NA	NA
TC01000177.hg.1	NA	NA	NA
TC01000178.hg.1	PRAMEF17	PRAME family member 17	391004
TC01000179.hg.1	NA	NA	NA
TC01000180.hg.1	NA	NA	NA
TC01000181.hg.1	PDPN	podoplanin	10630
TC01000182.hg.1	PRDM2	PR domain containing 2, with ZNF domain	7799
TC01000183.hg.1	NA	NA	NA
TC01000184.hg.1	KAZN	kazrin, periplakin interacting protein	23254
TC01000185.hg.1	TMEM51	transmembrane protein 51	55092
TC01000186.hg.1	FHAD1	forkhead-associated (FHA) phosphopeptide binding domain 1	114827
TC01000187.hg.1	EFHD2	EF-hand domain family, member D2	79180
TC01000188.hg.1	CTRC	chymotrypsin C (caldecrin)	11330
TC01000190.hg.1	DNAJC16	DnaJ (Hsp40) homolog, subfamily C, member 16	23341
TC01000191.hg.1	NA	NA	NA
TC01000192.hg.1	NA	NA	NA
TC01000193.hg.1	NA	NA	NA
TC01000194.hg.1	PLEKHM2	pleckstrin homology domain containing, family M (with RUN domain) member 2	23207
TC01000195.hg.1	SLC25A34	solute carrier family 25, member 34	284723
TC01000196.hg.1	TMEM82	transmembrane protein 82	388595
TC01000197.hg.1	FBLIM1	filamin binding LIM protein 1	54751
TC01000198.hg.1	SPEN	spen homolog, transcriptional regulator (Drosophila)	23013
TC01000199.hg.1	NA	NA	NA
TC01000200.hg.1	C1orf64	chromosome 1 open reading frame 64	149563
TC01000202.hg.1	NA	NA	NA
TC01000203.hg.1	NA	NA	NA
TC01000204.hg.1	NA	NA	NA
TC01000205.hg.1	C1orf144	chromosome 1 open reading frame 144	26099
TC01000206.hg.1	NECAP2	NECAP endocytosis associated 2	55707
TC01000207.hg.1	NA	NA	NA
TC01000208.hg.1	NA	NA	NA
TC01000209.hg.1	LOC100506533	putative uncharacterized protein FLJ35883-like	100506533
TC01000210.hg.1	MIR3675	microRNA 3675	100500876
TC01000211.hg.1	NA	NA	NA
TC01000212.hg.1	MST1P2	macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2	11209
TC01000213.hg.1	NA	NA	NA
TC01000214.hg.1	NA	NA	NA
TC01000215.hg.1	NA	NA	NA
TC01000216.hg.1	NA	NA	NA
TC01000217.hg.1	CROCC	ciliary rootlet coiled-coil, rootletin	9696
TC01000218.hg.1	NA	NA	NA
TC01000219.hg.1	NA	NA	NA
TC01000220.hg.1	NA	NA	NA
TC01000221.hg.1	NA	NA	NA
TC01000222.hg.1	LOC440570	uncharacterized LOC440570	440570
TC01000223.hg.1	NA	NA	NA
TC01000224.hg.1	NA	NA	NA
TC01000225.hg.1	NA	NA	NA
TC01000226.hg.1	NA	NA	NA
TC01000227.hg.1	NA	NA	NA
TC01000228.hg.1	NA	NA	NA
TC01000229.hg.1	LOC400743	uncharacterized LOC400743	400743
TC01000230.hg.1	PADI1	peptidyl arginine deiminase, type I	29943
TC01000231.hg.1	PADI3	peptidyl arginine deiminase, type III	51702
TC01000232.hg.1	PADI4	peptidyl arginine deiminase, type IV	23569
TC01000233.hg.1	PADI6	peptidyl arginine deiminase, type VI	353238
TC01000234.hg.1	NA	NA	NA
TC01000235.hg.1	NA	NA	NA
TC01000236.hg.1	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	55160
TC01000237.hg.1	NA	NA	NA
TC01000238.hg.1	ACTL8	actin-like 8	81569
TC01000239.hg.1	IGSF21	immunoglobin superfamily, member 21	84966
TC01000240.hg.1	NA	NA	NA
TC01000241.hg.1	NA	NA	NA
TC01000242.hg.1	KLHDC7A	kelch domain containing 7A	127707
TC01000243.hg.1	PAX7	paired box 7	5081
TC01000244.hg.1	NA	NA	NA
TC01000245.hg.1	MRTO4	mRNA turnover 4 homolog (S. cerevisiae)	51154
TC01000246.hg.1	PQLC2	PQ loop repeat containing 2	54896
